Detail,Date,Mound,Position,Name,Grade,Card1,Card2,Total,Status
1,2026-06-24,1,Upstairs,,,,,,
1,2026-06-24,2,Upstairs,,,,,,
1,2026-06-24,3,Upstairs,,,,,,
1,2026-06-24,4,Upstairs,,,,,,
1,2026-06-24,5,Upstairs,,,,,,
1,2026-06-24,6,Upstairs,,,,,,
1,2026-06-24,7,Upstairs,,,,,,
1,2026-06-24,8,Upstairs,,,,,,
1,2026-06-24,9,Downstairs,,,,,,
1,2026-06-24,10,Downstairs,,,,,,
1,2026-06-24,11,Downstairs,,,,,,
1,2026-06-24,12,Downstairs,,,,,,
1,2026-06-24,13,Downstairs,,,,,,
1,2026-06-24,14,Downstairs,,,,,,
1,2026-06-24,15,Downstairs,,,,,,
1,2026-06-24,16,Downstairs,,,,,,
2,2026-06-24,1,Upstairs,,,,,,
2,2026-06-24,2,Upstairs,,,,,,
2,2026-06-24,3,Upstairs,,,,,,
2,2026-06-24,4,Upstairs,,,,,,
2,2026-06-24,5,Upstairs,,,,,,
2,2026-06-24,6,Upstairs,,,,,,
2,2026-06-24,7,Upstairs,,,,,,
2,2026-06-24,8,Upstairs,,,,,,
2,2026-06-24,9,Downstairs,,,,,,
2,2026-06-24,10,Downstairs,,,,,,
2,2026-06-24,11,Downstairs,,,,,,
2,2026-06-24,12,Downstairs,,,,,,
2,2026-06-24,13,Downstairs,,,,,,
2,2026-06-24,14,Downstairs,,,,,,
2,2026-06-24,15,Downstairs,,,,,,
2,2026-06-24,16,Downstairs,,,,,,
3,2026-06-24,1,Upstairs,,,,,,
3,2026-06-24,2,Upstairs,,,,,,
3,2026-06-24,3,Upstairs,,,,,,
3,2026-06-24,4,Upstairs,,,,,,
3,2026-06-24,5,Upstairs,,,,,,
3,2026-06-24,6,Upstairs,,,,,,
3,2026-06-24,7,Upstairs,,,,,,
3,2026-06-24,8,Upstairs,,,,,,
3,2026-06-24,9,Downstairs,,,,,,
3,2026-06-24,10,Downstairs,,,,,,
3,2026-06-24,11,Downstairs,,,,,,
3,2026-06-24,12,Downstairs,,,,,,
3,2026-06-24,13,Downstairs,,,,,,
3,2026-06-24,14,Downstairs,,,,,,
3,2026-06-24,15,Downstairs,,,,,,
3,2026-06-24,16,Downstairs,,,,,,
4,2026-06-24,1,Upstairs,,,,,,
4,2026-06-24,2,Upstairs,,,,,,
4,2026-06-24,3,Upstairs,,,,,,
4,2026-06-24,4,Upstairs,,,,,,
4,2026-06-24,5,Upstairs,,,,,,
4,2026-06-24,6,Upstairs,,,,,,
4,2026-06-24,7,Upstairs,,,,,,
4,2026-06-24,8,Upstairs,,,,,,
4,2026-06-24,9,Downstairs,,,,,,
4,2026-06-24,10,Downstairs,,,,,,
4,2026-06-24,11,Downstairs,,,,,,
4,2026-06-24,12,Downstairs,,,,,,
4,2026-06-24,13,Downstairs,,,,,,
4,2026-06-24,14,Downstairs,,,,,,
4,2026-06-24,15,Downstairs,,,,,,
4,2026-06-24,16,Downstairs,,,,,,
5,2026-06-24,1,Upstairs,,,,,,
5,2026-06-24,2,Upstairs,,,,,,
5,2026-06-24,3,Upstairs,,,,,,
5,2026-06-24,4,Upstairs,,,,,,
5,2026-06-24,5,Upstairs,,,,,,
5,2026-06-24,6,Upstairs,,,,,,
5,2026-06-24,7,Upstairs,,,,,,
5,2026-06-24,8,Upstairs,,,,,,
5,2026-06-24,9,Downstairs,,,,,,
5,2026-06-24,10,Downstairs,,,,,,
5,2026-06-24,11,Downstairs,,,,,,
5,2026-06-24,12,Downstairs,,,,,,
5,2026-06-24,13,Downstairs,,,,,,
5,2026-06-24,14,Downstairs,,,,,,
5,2026-06-24,15,Downstairs,,,,,,
5,2026-06-24,16,Downstairs,,,,,,
